recipe_slug	score_bound
falafel	2.6709783764854382
spamburger	2.389956849344899
bacon-fried-rice	2.378892361000091
chicken-fingers	1.9016980140721136
apple-crisp	2.5372750791206693
cranberry-apple-crisp	2.766270283314616
bacon-chocolate-chip-cookies	2.5852951416778334
sujebi	2.8271219177285007
pasta-primavera	2.559596794310489
ramen	2.6554432193286908
brownies	2.114929718891973
bacon-wrapped-scallops	2.6823581937846743
bacon-egg-muffins	2.115177985530333
breakfast-burritos	2.280935349862766
bolognese-sauce	2.6423733224317973
croissants	2.369279410130695
bacon-souffle	2.2030006389364223
souffle	2.2648727748558004
chocolate-souffle	2.4539342722483024
butter-croissants	2.3755139894521626
pickled-green-beans	1.9088251969824706
fried-oysters	2.698240433725754
peanut-butter-brownies	1.784929251854985
almond-chip-cookies	2.46737844006319
guacamole	2.412473055630156
brioche-bread	2.1435499377951475
brioche-bread-with-chocolate	2.2683830128313165
asparagus-quiche	2.054867842427268
asparagus-burger	2.594496712107544
ma-la-chicken	2.8396274419727927
cold-noodles-with-tomatoes	1.9528299572289516
tamales	2.609297120385887
enchiladas	2.7089102020489966
tacos	2.59317831670077
burritos	2.4421633255219435
peanut-butter-cupcakes	1.8370814171127896
pickled-asparagus	1.840788540508676
chocolate-peanut-butter-cake	1.8294291520164505
udon	2.24601692851338
vegetable-lasagna	2.29523129125299
maple-bacon-donuts	2.309055966493519
maple-bacon-pancakes	2.473789133990125
spinach-and-ricotta-stuffed-shells	2.4374673948143997
quesadillas	2.8235367538356435
pico-de-gallo	2.3068585447834127
nachos	2.4973097264302706
cold-soba-noodles-with-tomato-and-cucumber	2.2376322694084596
fajitas	2.623612467788064
loaded-nachos	2.7397103585236806
lasagna	2.0809609376606706
chicken-nuggets	1.900479991874755
pain-au-chocolat	2.8322834843326326
nacho-dip	2.4358722542765836
nacho-salad	2.363909566347147
nacho-casserole	2.286961446098265
nacho-fries	2.788833193667709
tempura-udon	2.7205530736936616
peach-crisp	2.4395452513164906
apple-pie	2.1843607786460324
blueberry-crisp	2.3486072112198038
berry-crumble	2.3448903816667634
strawberry-rhubarb-crisp	2.593740176896427
peach-cobbler	2.4410377006867567
cranberry-sauce	2.3088809937383217
cherry-cobbler	2.421030706650863
apple-crumble	2.615463839477818
chocolate-croissants	2.5970795035760457
french-toast	2.204241408808681
chocolate-babka	2.797523825419766
cinnamon-babka	2.2799617986078857
blueberry-crumble	2.3276878954698828
spam-musubi	2.7992016516270035
taco-salad	2.5375208483366825
chiles-rellenos	2.092362304505933
almond-croissants	2.4769174675484282
cranberry-relish	2.4755476604049877
ma-la-beef	2.7590234436126244
chocolate-cake	2.499984318410303
spinach-quiche	2.0857785152969583
mushroom-quiche	1.8864949964276647
quiche-lorraine	2.5593841469152196
croissant-aux-amandes	2.7845874670623902
danishes	2.3552448507801835
spinach-and-feta-quiche	2.461559163147091
cold-sesame-noodles	1.9015627893485252
soba-noodle-salad-with-peanut-dressing	1.888826274029459
dan-dan-noodles	2.625921974806026
vanilla-souffle	2.7747509211474743
bacon-wrapped-dates	2.252996985036172
cherry-pie	2.4645096216145754
berry-crisp	2.4629066495155354
bacon-and-egg-breakfast-sandwich	2.0874570201117173
bacon-wrapped-shrimp-skewers	2.7901969006290352
bacon-wrapped-chicken	2.3133853107967806
bacon-wrapped-asparagus	1.8769148832195481
bacon-mac-and-cheese	2.338363886549551
chicken-alfredo-lasagna	2.660900633881285
classic-beef-lasagna	2.3487057109268954
vegetarian-mushroom-lasagna	2.060276860126395
spinach-and-ricotta-lasagna	2.379865364618956
