recipe_slug	score_bound	reward
apple-crumble	7.483314773547883	0.75
ma-la-chicken	7.242588778272628	1.0
quesadillas	7.29942220854935	1.0
ramen	7.322333098398955	0.75
spamburger	7.057355043515984	0.5
bacon-fried-rice	7.04887003198979	0.5
pain-au-chocolat	7.044951550456358	1.0
chocolate-babka	7.045482625534283	1.0
nacho-fries	6.974649411390386	1.0
cranberry-sauce	6.800974874139763	0.5
guacamole	6.735610291090578	0.5
asparagus-quiche	6.633998313882119	0.25
strawberry-rhubarb-crisp	6.547371703906217	0.75
apple-pie	6.444985211482528	0.25
cold-noodles-with-tomatoes	6.400674050372321	0.0
dan-dan-noodles	6.355733820491986	0.75
bacon-wrapped-asparagus	6.32622633143386	0.0
tamales	6.277437862455655	0.75
brioche-bread	6.245351027106093	0.25
taco-salad	6.238590431062984	0.75
asparagus-burger	6.094665695303643	0.75
bacon-wrapped-chicken	6.033566487078975	0.5
mushroom-quiche	5.993482008458267	0.0
fajitas	5.9621485684051905	0.75
apple-crisp	5.874337789005893	0.75
chicken-nuggets	5.8705745779153755	0.0
tacos	5.86886707477771	0.75
croissants	5.781797821837728	0.5
bacon-mac-and-cheese	5.757290527727578	0.5
nacho-salad	5.606978305547407	0.5
spam-musubi	5.5775811763585965	1.0
sujebi	5.573678774101487	1.0
croissant-aux-amandes	5.575881344166472	1.0
chocolate-peanut-butter-cake	5.5652497526630755	0.0
breakfast-burritos	5.490613379077859	0.5
cranberry-apple-crisp	5.469005405076523	1.0
bacon-wrapped-shrimp-skewers	5.4192803854659815	1.0
nachos	5.372746977269674	0.75
danishes	5.271854747766282	0.5
enchiladas	5.238197861998175	1.0
spinach-and-ricotta-lasagna	5.176340577264184	0.75
souffle	5.164864698600085	0.5
loaded-nachos	5.154384241580529	1.0
quiche-lorraine	5.152273915927908	0.75
vanilla-souffle	5.127344628778419	1.0
peach-crisp	5.091257473064003	0.75
soba-noodle-salad-with-peanut-dressing	5.045918160677456	0.0
brownies	5.012817556045377	0.25
ma-la-beef	4.991042682020463	1.0
pickled-green-beans	4.936954029661281	0.0
classic-beef-lasagna	4.922149760318675	0.5
bacon-egg-muffins	4.904026218191059	0.25
cherry-pie	4.797372189623093	0.75
fried-oysters	4.770235424337394	1.0
spinach-and-feta-quiche	4.765674519389314	0.75
tempura-udon	4.768812864620315	1.0
chicken-alfredo-lasagna	4.750515622302057	1.0
falafel	4.727300901020576	1.0
bacon-wrapped-scallops	4.728074309206014	1.0
maple-bacon-donuts	4.732134498450401	0.5
cold-sesame-noodles	4.7022777709739225	0.0
chiles-rellenos	4.670334705281496	0.25
chicken-fingers	4.655114962536213	0.0
almond-croissants	4.60050231843705	0.75
bacon-and-egg-breakfast-sandwich	4.557407356950823	0.25
cranberry-relish	4.5464241322991805	0.75
brioche-bread-with-chocolate	4.542233412635837	0.5
pico-de-gallo	4.532214478244242	0.5
burritos	4.452651724730787	0.75
peach-cobbler	4.440586838216243	0.75
peanut-butter-cupcakes	4.408149002735902	0.0
spinach-quiche	4.301289398415129	0.25
almond-chip-cookies	4.277922947668046	0.75
bolognese-sauce	4.269933436456325	1.0
nacho-dip	4.259333895374357	0.75
nacho-casserole	4.2536953670294455	0.5
cold-soba-noodles-with-tomato-and-cucumber	4.234483354814887	0.5
berry-crisp	4.220214019594147	0.75
maple-bacon-pancakes	4.213283495912208	0.75
udon	4.178759969213705	0.5
bacon-wrapped-dates	4.096412845762869	0.5
pickled-asparagus	4.054821843280531	0.0
bacon-chocolate-chip-cookies	3.9850565703387755	1.0
pasta-primavera	3.9629433831644296	1.0
lasagna	3.9389440478075626	0.25
chocolate-croissants	3.8676995048861604	1.0
french-toast	3.8418457470148852	0.5
cherry-cobbler	3.7742953990826194	0.75
blueberry-crumble	3.644223548309779	0.75
vegetarian-mushroom-lasagna	3.5216726457120675	0.25
chocolate-cake	3.470068605079812	1.0
blueberry-crisp	3.401140329819319	0.75
peanut-butter-brownies	3.3627100558795653	0.0
cinnamon-babka	3.335663558227811	0.75
chocolate-souffle	3.2157689100375535	1.0
spinach-and-ricotta-stuffed-shells	3.200457291682266	1.0
butter-croissants	2.9826886515736435	1.0
bacon-souffle	2.9907744902931412	0.75
berry-crumble	2.929249984568064	1.0
vegetable-lasagna	2.786472013841307	1.0
